event_id,event_final_rms_s_preferred,event_final_rms_s_1d
SGC2022wvewry,0.27050132049038117,0.24179139445737852
SGC2022wvkzqi,0.17300210801436064,0.18190465107455592
SGC2022wvwxvr,0.1491073303360796,0.20011395243763022
SGC2022wwfiss,0.19540204094345018,0.3396170815941126
SGC2022wwnjbd,0.21761009248847663,0.19164830984214248
SGC2022wxcoux,0.30267302831372,0.2442770864441989
SGC2022wxgxlt,0.0834044203041754,0.1125917851984289
SGC2022wyhzuh,0.5972735985628099,0.5594130923765335
SGC2022wyzgqh,0.1708706431719078,0.401663876500771
SGC2022wzjitd,0.23485593316520834,0.2664742461687758
SGC2022wzzmkc,0.42793868570282273,0.37513133856360886
SGC2022xafqne,0.2522126899399973,0.3927520906012719
SGC2022xalvej,0.09078807168099005,0.11683325921509616
SGC2022xaydjm,0.27818530268536257,0.45196293238439306
SGC2022xbosss,0.23098591396711896,0.3100357808870605
SGC2022xclmbr,0.1466536591192016,0.2457237577863914
SGC2022xcmnuj,0.18195512046674,0.11410484788233048
SGC2022xcvcps,0.7026721246981219,0.6302928161738539
SGC2022xdqijv,0.268416510704035,0.2958229407108489
SGC2022xebrux,0.12071378576649802,0.16094451029633147
SGC2022xefnvl,0.29468573199030573,0.4226032279320365
SGC2022xidlty,0.5467430637401377,0.3590845909411813
SGC2022xiloob,0.5322398722822003,0.46030742808086095
SGC2022xjhqvx,0.1727595903780036,0.1952079731521596
SGC2022xjopgm,0.4675202042228885,0.28793789428758443
SGC2022xjxxaf,0.21699128283657085,0.037099604041814206
SGC2022xkexaq,0.1533461629031988,0.21313273519850534
SGC2022xkvwdt,0.06261764667733977,0.14253153439860408
SGC2022xleovs,0.1755632635306874,0.11048968835488215
SGC2022xlfwwf,0.7164876572253995,0.8059138619891186
SGC2022xndkre,0.1397689536026952,0.1137539388269095
SGC2022xnvxpq,0.3630275844344695,0.44385548772360767
SGC2022xnyxle,0.2290254806526207,0.2858444884964177
SGC2022xogzqt,0.24410696228171852,0.2642557208531821
SGC2022xohehk,0.1633263867602687,0.2684616931832547
SGC2022xokzlt,0.1346558172343577,0.24797495472280856
SGC2022xonpvo,0.15717848890056627,0.2136957521592726
SGC2022xopelo,0.1216534735292747,0.25735450476032734
SGC2022xpjdjx,0.16208877158390547,0.15946542012412976
SGC2022xpyojh,0.3067119940613419,0.10504754765253496
SGC2022xufgvc,0.20782997270025888,0.12782299007818126
SGC2022xvoqcl,0.08150229271296874,0.12889209675729218
SGC2022xvwpyg,0.1110177211494893,0.23928289634443947
SGC2022xygkdm,0.3642418163222438,0.4857287789875587
SGC2022yauabz,0.27036649630522575,0.3591946268475237
SGC2022ybghoj,0.1935493385206589,0.18671910616688783
SGC2022ycfyzh,0.225685536858409,0.3551755883390067
SGC2022ycttrf,0.37456358136913437,0.4049594426556831
SGC2022ydaqlk,0.9526751336291243,0.83502077759925
SGC2022yduxdl,0.3304914981920675,0.30858948629073824
SGC2022yelnol,0.11965525664630074,0.26219156356739226
SGC2022yesuam,0.3277671651508973,0.5978416474951194
SGC2022yfcina,0.14877704662453087,0.17534213331231005
SGC2022yfinto,0.14648550437487654,0.22528179849328447
SGC2022yfjtmh,0.16382370619678904,0.22322339081341422
SGC2022yfoxop,0.400273270314056,0.4598377874104198
SGC2022yfztoz,0.21245879145589328,0.10332998621380092
SGC2022ygakgr,0.21897812197877453,0.17091848306441357
SGC2022yhmsqv,0.4712135074291325,0.27090945087190665
SGC2022yhtltr,0.3449026356621022,0.36486512256034237
SGC2022yjefnu,0.2972554697313221,0.41693656473443763
SGC2022yjuevm,0.11609693092839392,0.19176301038329513
SGC2022ylfpiq,0.24278491328123744,0.2317322872103583
SGC2022ylnlah,0.23600900203203654,0.29049536124660746
SGC2022ylrmph,0.15876419272022343,0.3408251471591954
SGC2022ympqby,0.4938876983274079,0.563124221111238
SGC2022ynfdxk,0.11356133070787075,0.1599468914830169
SGC2022ynjdqd,0.39591495588530123,0.21111127718396275
SGC2022ynumkq,0.6361951678710999,0.6372759784252721
SGC2022yovwnf,0.2776721355278656,0.24414824129634435
SGC2022yshsek,0.1884780145250589,0.23099896128680092
SGC2022yskrro,0.14901985139550575,0.2014818503499419
SGC2022ytixha,0.393730220741701,0.21127993060591932
